,precision,recall,f1-score,support
Quality control,0.7230769230769231,0.8103448275862069,0.7642276422764228,174.0
Nonconformity,0.6136363636363636,0.7105263157894737,0.6585365853658537,38.0
GN&C,0.8191489361702128,0.6875,0.7475728155339806,112.0
Safety / Risk (Control),0.7217391304347827,0.8469387755102041,0.7793427230046949,98.0
Structure & Mechanism,0.6095238095238096,0.5925925925925926,0.6009389671361502,108.0
Propulsion,0.8493150684931506,0.7560975609756098,0.8,82.0
Cleanliness,0.703125,0.703125,0.703125,64.0
Measurement,0.8244274809160306,0.8925619834710744,0.8571428571428571,121.0
Power,0.7925531914893617,0.8764705882352941,0.8324022346368715,170.0
Parameter,0.48872180451127817,0.47101449275362317,0.4797047970479705,138.0
Thermal,0.6421052631578947,0.8591549295774648,0.7349397590361446,71.0
Project Organisation / Documentation,0.5909090909090909,0.4642857142857143,0.52,56.0
Telecom.,0.6880733944954128,0.7075471698113207,0.6976744186046512,106.0
System engineering,0.5193798449612403,0.6568627450980392,0.5800865800865801,102.0
Materials / EEEs,0.7931034482758621,0.7301587301587301,0.7603305785123967,63.0
Space Environment,0.7864583333333334,0.7512437810945274,0.7684478371501272,201.0
OBDH,0.8318840579710145,0.8516320474777448,0.841642228739003,337.0
Project Scope,0.5111111111111111,0.6571428571428571,0.575,70.0
micro avg,0.7168784029038112,0.7484604452865941,0.7323290845886443,2111.0
macro avg,0.6949051251370485,0.7236222284200264,0.7056175013485391,2111.0
weighted avg,0.7213518333547632,0.7484604452865941,0.732208618413612,2111.0
