,precision,recall,f1-score,support
Nonconformity,0.7105263157894737,0.6428571428571429,0.675,42.0
Space Environment,0.7205240174672489,0.7819905213270142,0.75,211.0
Parameter,0.4251968503937008,0.38848920863309355,0.40601503759398494,139.0
GN&C,0.7741935483870968,0.7058823529411765,0.7384615384615385,136.0
Project Organisation / Documentation,0.5,0.3770491803278688,0.42990654205607476,61.0
Thermal,0.6808510638297872,0.7901234567901234,0.7314285714285714,81.0
Safety / Risk (Control),0.7235772357723578,0.8640776699029126,0.7876106194690266,103.0
OBDH,0.8337730870712401,0.8802228412256268,0.8563685636856369,359.0
Project Scope,0.5753424657534246,0.5753424657534246,0.5753424657534246,73.0
Structure & Mechanism,0.6907216494845361,0.6146788990825688,0.6504854368932039,109.0
Telecom.,0.7083333333333334,0.6181818181818182,0.6601941747572816,110.0
Materials / EEEs,0.6292134831460674,0.8115942028985508,0.7088607594936709,69.0
Power,0.8282828282828283,0.8677248677248677,0.8475452196382429,189.0
Cleanliness,0.7763157894736842,0.7023809523809523,0.7375,84.0
System engineering,0.5794392523364486,0.5740740740740741,0.5767441860465117,108.0
Quality control,0.6745283018867925,0.7606382978723404,0.715,188.0
Propulsion,0.8307692307692308,0.5567010309278351,0.6666666666666666,97.0
Measurement,0.8560606060606061,0.8560606060606061,0.8560606060606061,132.0
micro avg,0.7210412147505423,0.7254474028808381,0.7232375979112271,2291.0
macro avg,0.6954249477354364,0.6871149771645553,0.6871772437780245,2291.0
weighted avg,0.7198252730239766,0.7254474028808381,0.7195302621112889,2291.0
