,precision,recall,f1-score,support
Space Environment,0.7448559670781894,0.7801724137931034,0.7621052631578947,232.0
Telecom.,0.819047619047619,0.6099290780141844,0.6991869918699187,141.0
System engineering,0.781021897810219,0.6407185628742516,0.7039473684210527,167.0
Project Scope,0.7669902912621359,0.6475409836065574,0.7022222222222222,122.0
Measurement,0.8785046728971962,0.831858407079646,0.8545454545454545,113.0
GN&C,0.865979381443299,0.6412213740458015,0.7368421052631579,131.0
Structure & Mechanism,0.45614035087719296,0.6341463414634146,0.5306122448979592,82.0
OBDH,0.7293233082706767,0.825531914893617,0.7744510978043913,235.0
Parameter,0.4878048780487805,0.6201550387596899,0.5460750853242321,129.0
Power,0.6797385620915033,0.8666666666666667,0.7619047619047619,120.0
Thermal,0.8837209302325582,0.8351648351648352,0.8587570621468926,91.0
Project Organisation / Documentation,0.5308641975308642,0.4725274725274725,0.5,91.0
Propulsion,0.8080808080808081,0.6201550387596899,0.7017543859649122,129.0
Safety / Risk (Control),0.6122448979591837,0.6521739130434783,0.631578947368421,92.0
Quality control,0.7142857142857143,0.7300884955752213,0.7221006564551422,226.0
Materials / EEEs,0.7793103448275862,0.70625,0.740983606557377,160.0
Nonconformity,0.6307692307692307,0.6119402985074627,0.6212121212121212,67.0
Cleanliness,0.9772727272727273,0.5512820512820513,0.7049180327868853,78.0
micro avg,0.7194183062446535,0.6990856192851206,0.709106239460371,2406.0
macro avg,0.730330876654749,0.6820846047809525,0.6973998559945999,2406.0
weighted avg,0.7365765919901687,0.6990856192851206,0.7106101188226335,2406.0
