,precision,recall,f1-score,support
Structure & Mechanism,0.4827586206896552,0.5454545454545454,0.5121951219512195,77.0
Telecom.,0.7542372881355932,0.6544117647058824,0.7007874015748031,136.0
System engineering,0.717391304347826,0.6226415094339622,0.6666666666666666,159.0
Space Environment,0.8472906403940886,0.7747747747747747,0.8094117647058824,222.0
Project Scope,0.6220472440944882,0.6638655462184874,0.6422764227642277,119.0
Cleanliness,0.782608695652174,0.5454545454545454,0.6428571428571429,66.0
Nonconformity,0.6557377049180327,0.6779661016949152,0.6666666666666666,59.0
Propulsion,0.7391304347826086,0.8173076923076923,0.776255707762557,104.0
Thermal,0.8955223880597015,0.8108108108108109,0.851063829787234,74.0
Parameter,0.4899328859060403,0.5887096774193549,0.5347985347985348,124.0
GN&C,0.8658536585365854,0.6513761467889908,0.743455497382199,109.0
Project Organisation / Documentation,0.6056338028169014,0.4574468085106383,0.5212121212121212,94.0
Power,0.5963855421686747,0.908256880733945,0.72,109.0
OBDH,0.69140625,0.7901785714285714,0.7375,224.0
Quality control,0.7532467532467533,0.7837837837837838,0.7682119205298014,222.0
Safety / Risk (Control),0.6736842105263158,0.7191011235955056,0.6956521739130435,89.0
Measurement,0.8090909090909091,0.7946428571428571,0.8018018018018018,112.0
Materials / EEEs,0.8872180451127819,0.7468354430379747,0.8109965635738832,158.0
micro avg,0.7139689578713969,0.7133362871067789,0.7136524822695035,2257.0
macro avg,0.7149542432488405,0.697389921294291,0.7001005187748769,2257.0
weighted avg,0.7263325662916396,0.7133362871067789,0.7145585265651314,2257.0
