,precision,recall,f1-score,support
OBDH,0.8709677419354839,0.7883211678832117,0.8275862068965517,274.0
Cleanliness,0.8679245283018868,0.6133333333333333,0.71875,75.0
Space Environment,0.7125984251968503,0.7801724137931034,0.7448559670781894,232.0
Safety / Risk (Control),0.7608695652173914,0.5511811023622047,0.639269406392694,127.0
Project Organisation / Documentation,0.5964912280701754,0.29310344827586204,0.3930635838150289,116.0
Parameter,0.45588235294117646,0.6326530612244898,0.5299145299145299,147.0
Nonconformity,0.6078431372549019,0.5636363636363636,0.5849056603773585,55.0
Telecom.,0.743801652892562,0.743801652892562,0.743801652892562,121.0
Power,0.6966292134831461,0.8732394366197183,0.775,142.0
Quality control,0.7311320754716981,0.7110091743119266,0.7209302325581395,218.0
Structure & Mechanism,0.6226415094339622,0.528,0.5714285714285714,125.0
System engineering,0.6375,0.7183098591549296,0.6754966887417219,142.0
GN&C,0.7894736842105263,0.6741573033707865,0.7272727272727273,89.0
Materials / EEEs,0.6410256410256411,0.6329113924050633,0.6369426751592356,79.0
Project Scope,0.6385542168674698,0.5888888888888889,0.6127167630057804,90.0
Measurement,0.9271844660194175,0.9138755980861244,0.9204819277108434,209.0
Thermal,0.9259259259259259,0.7936507936507936,0.8547008547008547,63.0
Propulsion,0.7758620689655172,0.7377049180327869,0.7563025210084033,122.0
micro avg,0.724563644103874,0.7015663643858203,0.7128795811518325,2426.0
macro avg,0.7223504129563185,0.6743305504401194,0.6907455538307329,2426.0
weighted avg,0.7325388635096689,0.7015663643858203,0.7104572224105892,2426.0
