,precision,recall,f1-score,support
Space Environment,0.7370517928286853,0.7312252964426877,0.7341269841269841,253.0
Structure & Mechanism,0.4857142857142857,0.6,0.5368421052631579,85.0
Project Organisation / Documentation,0.5151515151515151,0.5730337078651685,0.5425531914893617,89.0
Nonconformity,0.6190476190476191,0.6610169491525424,0.639344262295082,59.0
Quality control,0.7219917012448133,0.7733333333333333,0.7467811158798283,225.0
Propulsion,0.8764044943820225,0.6724137931034483,0.7609756097560976,116.0
Parameter,0.46511627906976744,0.49586776859504134,0.48,121.0
Thermal,0.8214285714285714,0.7263157894736842,0.770949720670391,95.0
System engineering,0.7465753424657534,0.689873417721519,0.7171052631578947,158.0
Project Scope,0.64,0.6896551724137931,0.6639004149377593,116.0
Power,0.5852272727272727,0.8512396694214877,0.6936026936026936,121.0
Measurement,0.8737864077669902,0.8181818181818182,0.8450704225352113,110.0
GN&C,0.8712871287128713,0.6666666666666666,0.7553648068669528,132.0
Telecom.,0.7567567567567568,0.5793103448275863,0.65625,145.0
Cleanliness,0.8813559322033898,0.7428571428571429,0.8062015503875969,70.0
Materials / EEEs,0.7560975609756098,0.7701863354037267,0.7630769230769231,161.0
Safety / Risk (Control),0.7291666666666666,0.7608695652173914,0.7446808510638298,92.0
OBDH,0.7238805970149254,0.8326180257510729,0.7744510978043913,233.0
micro avg,0.7058091286307054,0.7144057118857623,0.7100814026299311,2381.0
macro avg,0.7114466624531953,0.7019258220237838,0.7017376118285642,2381.0
weighted avg,0.7188574654003057,0.7144057118857623,0.7120133517721927,2381.0
