step,epoch,loss,train_ppl,learning_rate,eval_loss,eval_ppl
13000,4.258106780216181,2.0733,7.951018232305182,4.6958729118899445e-05,,
13200,4.32361611529643,2.0961,8.134383872974636,4.691193673669927e-05,,
13400,4.389125450376679,2.063,7.869543061946912,4.686514435449909e-05,,
13600,4.4546347854569275,2.0718,7.939100645381464,4.681835197229891e-05,,
13800,4.520144120537177,2.0494,7.763241763585584,4.6771559590098736e-05,,
14000,4.585653455617425,2.068,7.908989310698875,4.672476720789856e-05,,
14200,4.651162790697675,2.1046,8.203820824872677,4.667797482569838e-05,,
14400,4.716672125777923,2.0672,7.902664649452131,4.6631182443498204e-05,,
14600,4.7821814608581725,2.0659,7.892397860266719,4.658439006129802e-05,,
14800,4.847690795938421,2.0728,7.947043716900682,4.653759767909784e-05,,
15000,4.91320013101867,2.0988,8.156376385963757,4.6490805296897665e-05,,
15200,4.978709466098919,2.0683,7.911362363432195,4.644401291469749e-05,,
15265,5.0,,,,2.0042409896850586,7.42045955342331
15400,5.044218801179168,2.0343,7.646897423355199,4.639722053249731e-05,,
15600,5.109728136259417,2.0225,7.557194322904825,4.635042815029713e-05,,
15800,5.175237471339666,2.0372,7.669105612192506,4.6303635768096955e-05,,
16000,5.2407468064199145,2.0349,7.6514869385260775,4.6256843385896784e-05,,
16200,5.306256141500164,2.0495,7.764018126579447,4.62100510036966e-05,,
16400,5.371765476580412,2.0211,7.5466216534482475,4.616325862149642e-05,,
16600,5.437274811660662,2.0305,7.617894353878806,4.6116466239296245e-05,,
16800,5.50278414674091,2.0308,7.6201800650245,4.606967385709607e-05,,
17000,5.56829348182116,2.038,7.675243351450616,4.602288147489589e-05,,
17200,5.633802816901408,2.062,7.861677452345231,4.597608909269571e-05,,
17400,5.699312151981657,2.0272,7.592796736356004,4.5929296710495536e-05,,
17600,5.764821487061907,2.0223,7.555683035174054,4.588250432829536e-05,,
17800,5.830330822142155,2.0403,7.692916727750684,4.583571194609518e-05,,
18000,5.895840157222404,2.0143,7.495478709285611,4.5788919563894997e-05,,
18200,5.961349492302653,2.0406,7.695224948984884,4.574212718169482e-05,,
18318,6.0,,,,1.9805675745010376,7.24685494820926
18400,6.0268588273829025,2.0422,7.707547164046569,4.569533479949464e-05,,
18600,6.092368162463151,1.9951,7.352938284955826,4.5648542417294464e-05,,
18800,6.1578774975434,2.003,7.411256551255594,4.560175003509429e-05,,
19000,6.223386832623649,1.9978,7.37281804392286,4.555495765289411e-05,,
19200,6.288896167703898,2.0108,7.469290390095599,4.550816527069393e-05,,
19400,6.354405502784147,1.9932,7.338980965866372,4.5461372888493755e-05,,
19600,6.419914837864396,1.996,7.359558908245874,4.541458050629358e-05,,
19800,6.4854241729446445,1.9986,7.378718658289045,4.53677881240934e-05,,
20000,6.550933508024894,1.9769,7.220325247353484,4.532099574189322e-05,,
20200,6.616442843105142,2.0142,7.494729198890829,4.5274203359693045e-05,,
20400,6.681952178185392,1.9939,7.344120051012433,4.522741097749287e-05,,
20600,6.74746151326564,2.0184,7.5262732576798745,4.518061859529269e-05,,
20800,6.8129708483458895,1.9918,7.328713581360319,4.513382621309251e-05,,
21000,6.878480183426138,1.9944,7.347793029205967,4.5087033830892335e-05,,
21200,6.943989518506387,1.9956,7.356615673368795,4.504024144869216e-05,,
21371,7.0,,,,1.981345534324646,7.252494903751442
21400,7.009498853586636,2.0031,7.411997713968235,4.499344906649198e-05,,
21600,7.075008188666885,1.9617,7.111406185510645,4.4946656684291796e-05,,
21800,7.140517523747134,1.9653,7.137053385038665,4.489986430209162e-05,,
22000,7.206026858827383,1.9596,7.096487902201017,4.485307191989144e-05,,
22200,7.2715361939076315,1.9544,7.05968194353815,4.4806279537691264e-05,,
22400,7.337045528987881,1.9483,7.016748962402967,4.475948715549109e-05,,
22600,7.402554864068129,1.969,7.163509396001698,4.471269477329091e-05,,
22800,7.468064199148379,1.963,7.120657025294843,4.466590239109073e-05,,
23000,7.533573534228628,1.9526,7.046985945865606,4.4619110008890554e-05,,
23200,7.5990828693088766,1.9696,7.167808791328914,4.457231762669038e-05,,
23400,7.664592204389125,1.9523,7.044872167164505,4.45255252444902e-05,,
23600,7.730101539469374,1.9599,7.098617167945569,4.447873286229002e-05,,
23800,7.795610874549624,1.9743,7.201576785272701,4.4431940480089845e-05,,
24000,7.861120209629872,1.9677,7.154202884330148,4.438514809788967e-05,,
24200,7.926629544710121,1.9842,7.273226476219191,4.433835571568949e-05,,
24400,7.99213887979037,1.972,7.185032192241968,4.429156333348931e-05,,
24424,8.0,,,,1.9425601959228516,6.976589561901009
24600,8.05764821487062,1.9355,6.927506943055741,4.4244770951289135e-05,,
24800,8.123157549950868,1.9407,6.963623801608585,4.419797856908896e-05,,
25000,8.188666885031116,1.946,7.0006289848698255,4.4151186186888774e-05,,
25200,8.254176220111367,1.9433,6.981752780953258,4.4104393804688596e-05,,
25400,8.319685555191615,1.9555,7.0674518663501225,4.405760142248842e-05,,
25600,8.385194890271864,1.9368,6.936518558362528,4.401080904028824e-05,,
25800,8.450704225352112,1.905,6.719407627634948,4.3964016658088064e-05,,
26000,8.516213560432362,1.9192,6.815503884640089,4.3917224275887887e-05,,
26200,8.58172289551261,1.9286,6.879871675813416,4.387043189368771e-05,,
26400,8.64723223059286,1.9241,6.848981807602365,4.382363951148753e-05,,
26600,8.712741565673108,1.931,6.896403197726534,4.3776847129287354e-05,,
26800,8.778250900753358,1.9638,7.126355830133077,4.373005474708718e-05,,
27000,8.843760235833606,1.978,7.228271975024496,4.3683262364887e-05,,
27200,8.909269570913855,1.8935,6.642577062402222,4.363646998268682e-05,,
27400,8.974778905994103,1.9304,6.89226659691224,4.3589677600486645e-05,,
27477,9.0,,,,1.93222975730896,6.904889316828503
27600,9.040288241074354,1.8964,6.661868494940292,4.354288521828647e-05,,
27800,9.105797576154602,1.8811,6.560717683864186,4.349609283608629e-05,,
28000,9.17130691123485,1.8835,6.576482316297357,4.344930045388611e-05,,
28200,9.2368162463151,1.9043,6.714705688166414,4.3402508071685935e-05,,
28400,9.30232558139535,1.9164,6.796447165620113,4.335571568948575e-05,,
28600,9.367834916475598,1.8934,6.64191283790776,4.330892330728557e-05,,
28800,9.433344251555846,1.9348,6.922659385038851,4.3262130925085396e-05,,
29000,9.498853586636095,1.897,6.665866815413448,4.321533854288522e-05,,
29200,9.564362921716345,1.8995,6.682552330655663,4.316854616068504e-05,,
29400,9.629872256796594,1.9193,6.816185469107208,4.3121753778484864e-05,,
29600,9.695381591876842,1.9044,6.715377192309878,4.3074961396284686e-05,,
29800,9.760890926957092,1.9214,6.8305144988076005,4.302816901408451e-05,,
30000,9.82640026203734,1.9076,6.736900818760765,4.298137663188433e-05,,
30200,9.89190959711759,1.8913,6.627979456119549,4.2934584249684154e-05,,
30400,9.957418932197838,1.9125,6.769992641527277,4.288779186748397e-05,,
30530,10.0,,,,1.9279993772506714,6.875740709072947
30600,10.022928267278088,1.884,6.579771379652822,4.28409994852838e-05,,
30800,10.088437602358336,1.8713,6.496736669592811,4.279420710308362e-05,,
31000,10.153946937438585,1.8725,6.5045374331183465,4.2747414720883444e-05,,
31200,10.219456272518833,1.8602,6.425021647266721,4.270062233868327e-05,,
31400,10.284965607599084,1.885,6.586354442015068,4.265382995648309e-05,,
31600,10.350474942679332,1.8929,6.638592711589555,4.260703757428291e-05,,
31800,10.41598427775958,1.8959,6.658538393287611,4.2560245192082735e-05,,
32000,10.481493612839829,1.8584,6.413467010594398,4.251345280988255e-05,,
32200,10.54700294792008,1.8776,6.537795309525673,4.246666042768237e-05,,
32400,10.612512283000328,1.8782,6.54171916374994,4.2419868045482196e-05,,
32600,10.678021618080576,1.9149,6.786260137053175,4.237307566328202e-05,,
32800,10.743530953160825,1.8636,6.446903899616522,4.232628328108184e-05,,
33000,10.809040288241075,1.8815,6.563342495865134,4.2279490898881664e-05,,
33200,10.874549623321323,1.8914,6.628642287206163,4.2232698516681486e-05,,
33400,10.940058958401572,1.8741,6.514953023261459,4.218590613448131e-05,,
33583,11.0,,,,1.9158107042312622,6.792443227930603
33600,11.00556829348182,1.8913,6.627979456119549,4.213911375228113e-05,,
33800,11.07107762856207,1.8374,6.280188525414633,4.209232137008095e-05,,
34000,11.13658696364232,1.827,6.215213023007643,4.204552898788077e-05,,
34200,11.202096298722568,1.8385,6.287100533700186,4.19987366056806e-05,,
34400,11.267605633802816,1.8636,6.446903899616522,4.195194422348042e-05,,
34600,11.333114968883066,1.8259,6.208380047507852,4.1905151841280244e-05,,
34800,11.398624303963315,1.8471,6.341402763194504,4.185835945908007e-05,,
35000,11.464133639043563,1.8457,6.332531011001619,4.181156707687989e-05,,
35200,11.529642974123814,1.8519,6.371914666442803,4.176477469467971e-05,,
35400,11.595152309204062,1.8294,6.230147448404814,4.171798231247953e-05,,
35600,11.66066164428431,1.8689,6.481163197227892,4.167118993027935e-05,,
35800,11.726170979364559,1.8538,6.384032812902637,4.162439754807917e-05,,
36000,11.791680314444807,1.863,6.443036917487402,4.1577605165878996e-05,,
36200,11.857189649525058,1.8322,6.247616306248344,4.153081278367882e-05,,
36400,11.922698984605306,1.8463,6.336331669691808,4.148402040147864e-05,,
36600,11.988208319685555,1.8563,6.400012861672916,4.143722801927846e-05,,
36636,12.0,,,,1.8833563327789307,6.575537559225499
36800,12.053717654765805,1.8077,6.096409552886091,4.1390435637078286e-05,,
37000,12.119226989846053,1.8389,6.289615876948777,4.134364325487811e-05,,
37200,12.184736324926302,1.8407,6.300947380821264,4.129685087267793e-05,,
37400,12.25024566000655,1.8143,6.1367789283333884,4.125005849047775e-05,,
37600,12.3157549950868,1.8241,6.197215014966184,4.120326610827757e-05,,
37800,12.381264330167049,1.8286,6.2251653235617415,4.11564737260774e-05,,
38000,12.446773665247298,1.8455,6.331264631441596,4.110968134387722e-05,,
38200,12.512283000327546,1.8288,6.2264104811380605,4.1062888961677044e-05,,
38400,12.577792335407796,1.8285,6.224542838154174,4.1016096579476867e-05,,
38600,12.643301670488045,1.823,6.190401826390434,4.096930419727669e-05,,
38800,12.708811005568293,1.8347,6.263254887094929,4.092251181507651e-05,,
39000,12.774320340648542,1.8491,6.354098259985852,4.087571943287633e-05,,
39200,12.839829675728792,1.8226,6.187926160826,4.082892705067615e-05,,
39400,12.90533901080904,1.8299,6.23326330102726,4.078213466847597e-05,,
39600,12.970848345889289,1.8246,6.200314397254668,4.0735342286275795e-05,,
39689,13.0,,,,1.9083325862884521,6.741837988157746
